Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
Tempolaris,176549,Titan,1567,566.0,17.0,33.294117647058826,40.588235294117645,75.0,6.0,0.0,1.0
^BamBam,314967,Hunter,1560,293.0,23.0,12.73913043478261,19.97826086956522,20.0,5.0,0.0,1.0
Meey,425283,Warlock,1560,741.0,20.0,37.05,43.95,107.0,17.0,2.0,1.0
Tiki,450827,Warlock,1574,456.0,35.0,13.028571428571428,21.5,87.0,5.0,4.0,1.0
ArchLupercal,183266,Titan,1560,1133.0,19.0,59.63157894736842,66.42105263157895,27.0,4.0,0.0,1.0
lau,207625,Warlock,1557,743.0,27.0,27.51851851851852,34.851851851851855,88.0,21.0,0.0,1.0
END GROUP + 10349129683
OP-92-,376692,Titan,1561,213.0,6.0,35.5,46.0,27.0,18.0,1.0,1.0
lVl I6,170577,Hunter,1541,260.0,2.0,130.0,167.25,42.0,8.0,1.0,1.0
zFaisalQ8,319412,Warlock,1564,103.0,1.0,103.0,142.0,55.0,5.0,2.0,1.0
Voidalizer,371608,Warlock,1571,452.0,2.0,226.0,264.25,151.0,11.0,0.0,1.0
An Avid Player,212582,Titan,1568,167.0,2.0,83.5,128.25,33.0,0.0,2.0,1.0
II UnBeKnown II,368177,Titan,1564,89.0,4.0,22.25,25.375,13.0,36.0,0.0,1.0
END GROUP + 10349109942
uwu,250227,Warlock,1570,353.0,18.0,19.61111111111111,25.77777777777778,71.0,53.0,0.0,1.0
Psyduck2333,156582,Warlock,1582,329.0,22.0,14.954545454545455,19.181818181818183,66.0,7.0,11.0,1.0
萌动,423612,Titan,1568,831.0,14.0,59.357142857142854,68.60714285714286,7.0,4.0,0.0,1.0
J1ng,245708,Warlock,1569,809.0,18.0,44.94444444444444,53.69444444444444,256.0,28.0,0.0,1.0
Padrin0,74503,Warlock,1564,366.0,18.0,20.333333333333332,26.63888888888889,20.0,22.0,1.0,1.0
喜多川海夢,92318,Hunter,1559,875.0,21.0,41.666666666666664,49.476190476190474,27.0,14.0,13.0,1.0
END GROUP + 10349131865
brainwasher_q8,661826,Warlock,1565,751.0,33.0,22.757575757575758,29.818181818181817,296.0,144.0,20.0,1.0
foood5117,549404,Titan,1570,992.0,27.0,36.74074074074074,44.388888888888886,89.0,35.0,8.0,1.0
el_3meed,440222,Warlock,1567,1084.0,30.0,36.13333333333333,43.1,176.0,32.0,41.0,1.0
baby-Gunner-XI,259169,Titan,1568,831.0,23.0,36.130434782608695,51.391304347826086,102.0,68.0,0.0,1.0
