Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
zhangx413,59722,Warlock,1565,901.0,76.0,11.855263157894736,13.085526315789474,142.0,138.0,30.0,1.0
Viper780,93438,Hunter,1580,863.0,49.0,17.612244897959183,21.336734693877553,81.0,51.0,15.0,1.0
阿撒托斯,363898,Titan,1579,1739.0,67.0,25.955223880597014,27.492537313432837,0.0,901.0,164.0,1.0
Leaves,174895,Warlock,1579,240.0,12.0,20.0,28.875,43.0,40.0,9.0,0.0
Leaves,174895,Titan,1583,661.0,45.0,14.688888888888888,16.877777777777776,20.0,206.0,28.0,1.0
TheoJupe,98977,Warlock,1574,330.0,16.0,20.625,25.09375,25.0,14.0,27.0,0.0
TheoJupe,98977,Hunter,1560,567.0,56.0,10.125,13.053571428571429,62.0,7.0,17.0,1.0
Viper780,93438,Warlock,1581,480.0,11.0,43.63636363636363,49.86363636363637,203.0,65.0,10.0,0.0
Hermit,23710,Hunter,1571,751.0,63.0,11.920634920634921,14.547619047619047,148.0,29.0,7.0,1.0
END GROUP + 11402201666
Ajays__,65639,Titan,1575,2211.0,83.0,26.63855421686747,30.873493975903614,219.0,274.0,140.0,1.0
Peguntah,108417,Warlock,1581,1935.0,88.0,21.988636363636363,25.818181818181817,532.0,216.0,44.0,1.0
CookyNutss,112295,Titan,1575,1632.0,97.0,16.824742268041238,20.489690721649485,267.0,251.0,31.0,1.0
Seng,106491,Hunter,1575,1439.0,91.0,15.813186813186814,19.445054945054945,109.0,49.0,9.0,1.0
The Eighth Hokage,41586,Titan,1575,1069.0,78.0,13.705128205128204,16.96794871794872,79.0,134.0,87.0,1.0
Po09lil,299004,Warlock,1582,1578.0,86.0,18.348837209302324,21.959302325581394,50.0,58.0,41.0,1.0
END GROUP + 11402217162
iLXIV.,226373,Hunter,1572,1829.0,156.0,11.724358974358974,13.240384615384615,114.0,169.0,20.0,1.0
朝比奈まふゆ,154528,Titan,1574,1926.0,120.0,16.05,17.204166666666666,159.0,516.0,50.0,1.0
一问都不会一学就喊累,207860,Warlock,1576,1393.0,86.0,16.197674418604652,17.97093023255814,181.0,45.0,41.0,1.0
朝比奈まふゆ,154528,Warlock,1574,200.0,32.0,6.25,7.125,44.0,53.0,0.0,0.0
一问都不会一学就喊累,207860,Titan,1577,596.0,54.0,11.037037037037036,11.833333333333334,1.0,242.0,5.0,0.0
紫陽 黎音,71930,Hunter,1576,1856.0,135.0,13.748148148148148,15.41851851851852,92.0,119.0,1.0,1.0
Little Down Feng,55138,Warlock,1574,1840.0,154.0,11.948051948051948,13.188311688311689,278.0,67.0,29.0,1.0
紫陽 黎音,71930,Warlock,1574,425.0,32.0,13.28125,14.140625,26.0,29.0,20.0,0.0
纯爱库洛米,125984,Titan,1577,2312.0,151.0,15.311258278145695,16.480132450331126,0.0,441.0,151.0,1.0
END GROUP + 11402203612
NragedCactus,102293,Warlock,1579,1464.0,57.0,25.68421052631579,30.842105263157894,220.0,59.0,14.0,1.0
ComposedLunatic,146074,Titan,1572,1505.0,45.0,33.44444444444444,38.977777777777774,198.0,137.0,116.0,1.0
MoltenSlowa,273975,Hunter,1572,867.0,64.0,13.546875,18.3828125,47.0,90.0,16.0,1.0
Ruble,314528,Titan,1577,854.0,52.0,16.423076923076923,21.009615384615383,148.0,117.0,46.0,1.0
YeOldeApple,267380,Hunter,1575,1705.0,61.0,27.950819672131146,32.02459016393443,21.0,111.0,6.0,1.0
Mike,223480,Titan,1579,1106.0,54.0,20.48148148148148,24.11111111111111,108.0,85.0,104.0,1.0
END GROUP + 11402217157
Not_Kalol,309932,Titan,1579,121.0,3.0,40.333333333333336,48.333333333333336,11.0,16.0,5.0,1.0
lostRenegade_,371834,Warlock,1579,278.0,4.0,69.5,77.875,101.0,3.0,0.0,1.0
[?]Hakun|NieMa|Tata[¿],139439,Titan,1579,83.0,3.0,27.666666666666668,31.333333333333332,19.0,8.0,0.0,1.0
JFK Penny,224152,Warlock,1577,74.0,3.0,24.666666666666668,26.833333333333332,7.0,35.0,11.0,1.0
Bonnie054,215236,Hunter,1575,73.0,3.0,24.333333333333332,31.333333333333332,4.0,10.0,9.0,1.0
MeaningOfPeace,130927,Warlock,1577,76.0,5.0,15.2,19.5,23.0,4.0,0.0,1.0
END GROUP + 11402190384
NOTtheRadBrad,269355,Warlock,1574,853.0,70.0,12.185714285714285,14.692857142857143,79.0,36.0,18.0,1.0
